encoder.first_conv.conv.weight,network.encoder.first_conv.conv.weight
encoder.first_conv.bn.weight,network.encoder.first_conv.bn.gamma
encoder.first_conv.bn.bias,network.encoder.first_conv.bn.beta
encoder.first_conv.bn.running_mean,network.encoder.first_conv.bn.moving_mean
encoder.first_conv.bn.running_var,network.encoder.first_conv.bn.moving_variance
encoder.blocks.0.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block0.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.0.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block0.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.0.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block0.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.0.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block0.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.0.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block0.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.0.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block0.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.0.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block0.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.0.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block0.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.0.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block0.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.0.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block0.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.1.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block1.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.1.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block1.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.1.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block1.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.1.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block1.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.1.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block1.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.1.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block1.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.1.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block1.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.1.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block1.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.1.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block1.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.1.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block1.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.1.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block1.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.1.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block1.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.1.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block1.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.1.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block1.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.1.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block1.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.2.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block2.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.2.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block2.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.2.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block2.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.2.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block2.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.2.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block2.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
